seriesdesc,seriestime,afd,rows,fov,voxelsize,contourname,suvmax,suvmin,suvmean,stdev,suvpeak,volume
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 07-01,1.2246339,0.8140233,1.0026158,0.0953054,,2.7978957
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 07-02,1.1887858,0.8143728,0.9728966,0.0745816,,2.8095033
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 07-03,1.2326699,0.8572087,0.9837003,0.0679204,,2.7506049
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 07-04,1.131974,0.8164691,0.9395183,0.0644643,,2.8120828
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 07-05,1.1585281,0.7792934,0.9296822,0.0594165,,2.7643621
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 08-01,1.1641884,0.8678305,1.0135015,0.0515809,,2.796176
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 08-02,1.1446919,0.7746115,0.9445171,0.0777173,,2.806494
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 08-03,1.1808196,0.8095512,0.9775201,0.0742753,,2.7540441
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 08-04,1.2621591,0.6901276,0.9668033,0.0904148,,2.8013349
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 08-05,1.2897613,0.8059174,0.958533,0.0947225,,2.7604928
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 09-01,1.1569209,0.8043801,0.9587253,0.0664465,,2.7996154
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 09-02,1.0551068,0.8296065,0.9354528,0.0394311,,2.77597
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 09-03,1.1019958,0.7948765,0.9563283,0.0522876,,2.7312586
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 09-04,1.2597831,0.8335198,1.0180355,0.0838575,,2.7940264
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 09-05,1.2084219,0.8341486,0.9779689,0.0768628,,2.7480254
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 10-01,1.1674027,0.8080139,0.9734506,0.0642347,,2.8095033
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 10-02,1.1837544,0.8585365,1.0229038,0.0675621,,2.7996154
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 10-03,1.1645377,0.8159101,0.9870304,0.0654933,,2.7312586
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 10-04,1.1519595,0.8364546,0.9979843,0.0629506,,2.77511
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 10-05,1.2331592,0.7528092,0.9580365,0.0839071,,2.7652221
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Ins - 01 - Spheres,0.3892973,0.1860186,0.2692773,0.030349,,23.3874493
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Ins - 02 - Background,0.4292682,0.1720427,0.2504272,0.0351276,,21.8255634
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Sph - 01 - 37mm,4.5795369,1.1929785,3.2301493,0.7056231,4.1504173,26.6337471
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Sph - 02 - 28mm,4.4818454,1.2614603,3.0102482,0.728739,4.0200853,11.6034422
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Sph - 03 - 22mm,4.342227,1.254053,2.792011,0.6625683,3.7207429,5.5029292
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Sph - 04 - 17mm,3.5518227,1.2307832,2.2720366,0.5596192,2.7753487,2.6001341
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Sph - 05 - 13mm,2.9670732,1.2805372,2.0122528,0.4043677,2.0567553,1.2084949
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Sph - 06 - 10mm,2.1010594,1.0320467,1.5132501,0.2636876,1.3388876,0.5227783
60s osem 1,49516000,60000,384,1.8229166,,Sph - 00 - Group,4.5795369,1.0320467,2.471658,0.5541008,3.0103729,48.0715256
60s osem 1,49516000,60000,384,1.8229166,,Ins - 00 - Average,0.4292682,0.1720427,0.2598523,0.0327383,,45.2130127
60s osem 1,49516000,60000,384,1.8229166,,Bkg - 00 - All Groups,1.2897613,0.6901276,0.9710091,0.0695847,,139.3672791
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-01,1.1349229,0.8347051,0.9905312,0.063513,,2.7910171
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-02,1.1229711,0.795506,0.9424499,0.0581858,,2.7910171
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-03,1.1183469,0.7541727,0.9249798,0.0598214,,2.7652221
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-04,1.1512144,0.8216861,0.981455,0.0655563,,2.7880075
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-05,1.2181586,0.7946523,0.9618829,0.0728674,,2.7639322
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-01,1.1877811,0.8519214,0.9748323,0.0576992,,2.7643621
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-02,1.1997329,0.7910952,1.001971,0.0883856,,2.8021948
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-03,1.331843,0.8513523,0.9950315,0.0882046,,2.7776895
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-04,1.1295873,0.7483392,0.9702902,0.0736392,,2.8073537
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-05,1.1700668,0.7808509,0.9968792,0.0699313,,2.7996154
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-01,1.1564788,0.8041142,0.9917347,0.0661943,,2.7377074
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-02,1.1482264,0.7827005,0.9569602,0.0660908,,2.8082137
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-03,1.1541312,0.737739,0.9543825,0.0736063,,2.7970357
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-04,1.0995655,0.7704642,0.9433143,0.0737627,,2.8030546
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-05,1.1953933,0.7336839,0.955994,0.0921955,,2.8125129
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-01,1.0507623,0.801482,0.9298876,0.0457294,,2.7686613
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-02,1.211827,0.7955772,0.9621886,0.0740209,,2.8142323
60s osem 4,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-03,1.1846509,0.8031182,0.968954,0.0787079,,2.7845683
